,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma,Divsqmax,Divsqmin,Divmedia
0,2.0,9.0,39.0,37.0,49.0,43.0,41.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
1,3.0,36.0,30.0,10.0,11.0,29.0,47.0,163.0,0.47246376811594204,7.761904761904762,0.9361636793740333
2,11.0,25.0,15.0,58.0,37.0,59.0,38.0,232.0,0.672463768115942,11.047619047619047,1.3324538258575198
3,17.0,10.0,20.0,6.0,19.0,51.0,13.0,119.0,0.34492753623188405,5.666666666666667,0.6834569192976072
4,24.0,1.0,8.0,14.0,28.0,33.0,43.0,127.0,0.3681159420289855,6.0476190476190474,0.7294036029478664
5,29.0,14.0,56.0,58.0,8.0,43.0,3.0,182.0,0.527536231884058,8.666666666666666,1.0452870530433993
6,33.0,5.0,33.0,49.0,17.0,42.0,39.0,185.0,0.5362318840579711,8.80952380952381,1.0625170594122464
7,41.0,38.0,26.0,35.0,39.0,12.0,47.0,197.0,0.5710144927536231,9.380952380952381,1.1314370848876354
8,49.0,33.0,7.0,43.0,35.0,13.0,55.0,186.0,0.5391304347826087,8.857142857142858,1.0682603948685288
9,54.0,5.0,21.0,9.0,56.0,18.0,36.0,145.0,0.42028985507246375,6.904761904761905,0.8327836411609499
10,58.0,30.0,49.0,27.0,37.0,12.0,44.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
11,63.0,26.0,9.0,41.0,49.0,25.0,40.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
12,73.0,57.0,25.0,45.0,28.0,51.0,26.0,232.0,0.672463768115942,11.047619047619047,1.3324538258575198
13,79.0,43.0,25.0,2.0,13.0,31.0,17.0,131.0,0.37971014492753624,6.238095238095238,0.7523769447729961
14,82.0,51.0,36.0,53.0,29.0,18.0,15.0,202.0,0.5855072463768116,9.619047619047619,1.1601537621690474
15,90.0,21.0,26.0,40.0,54.0,9.0,52.0,202.0,0.5855072463768116,9.619047619047619,1.1601537621690474
16,96.0,4.0,42.0,58.0,26.0,7.0,40.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
17,97.0,56.0,53.0,11.0,14.0,5.0,35.0,174.0,0.5043478260869565,8.285714285714286,0.9993403693931399
18,102.0,44.0,42.0,37.0,56.0,19.0,20.0,218.0,0.6318840579710145,10.380952380952381,1.252047129469566
19,103.0,9.0,1.0,57.0,7.0,54.0,49.0,177.0,0.5130434782608696,8.428571428571429,1.016570375761987
20,112.0,37.0,43.0,34.0,20.0,12.0,42.0,188.0,0.5449275362318841,8.952380952380953,1.0797470657810937
21,124.0,52.0,5.0,34.0,57.0,15.0,41.0,204.0,0.591304347826087,9.714285714285714,1.1716404330816124
22,133.0,19.0,57.0,6.0,39.0,34.0,5.0,160.0,0.463768115942029,7.619047619047619,0.9189336730051861
23,139.0,26.0,27.0,13.0,42.0,41.0,3.0,152.0,0.4405797101449275,7.238095238095238,0.8729869893549268
24,144.0,8.0,32.0,44.0,36.0,45.0,55.0,220.0,0.6376811594202898,10.476190476190476,1.2635338003821308
25,147.0,24.0,6.0,38.0,23.0,28.0,16.0,135.0,0.391304347826087,6.428571428571429,0.7753502865981258
26,151.0,3.0,43.0,16.0,56.0,52.0,20.0,190.0,0.5507246376811594,9.047619047619047,1.0912337366936584
27,155.0,12.0,32.0,44.0,43.0,35.0,30.0,196.0,0.5681159420289855,9.333333333333334,1.125693749431353
28,157.0,17.0,13.0,4.0,44.0,41.0,21.0,140.0,0.4057971014492754,6.666666666666667,0.8040669638795378
