Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena
2.0,9.0,39.0,37.0,49.0,43.0,41.0
3.0,36.0,30.0,10.0,11.0,29.0,47.0
11.0,25.0,15.0,58.0,37.0,59.0,38.0
17.0,10.0,20.0,6.0,19.0,51.0,13.0
24.0,1.0,8.0,14.0,28.0,33.0,43.0
29.0,14.0,56.0,58.0,8.0,43.0,3.0
33.0,5.0,33.0,49.0,17.0,42.0,39.0
41.0,38.0,26.0,35.0,39.0,12.0,47.0
49.0,33.0,7.0,43.0,35.0,13.0,55.0
54.0,5.0,21.0,9.0,56.0,18.0,36.0
58.0,30.0,49.0,27.0,37.0,12.0,44.0
63.0,26.0,9.0,41.0,49.0,25.0,40.0
73.0,57.0,25.0,45.0,28.0,51.0,26.0
79.0,43.0,25.0,2.0,13.0,31.0,17.0
82.0,51.0,36.0,53.0,29.0,18.0,15.0
90.0,21.0,26.0,40.0,54.0,9.0,52.0
96.0,4.0,42.0,58.0,26.0,7.0,40.0
97.0,56.0,53.0,11.0,14.0,5.0,35.0
102.0,44.0,42.0,37.0,56.0,19.0,20.0
103.0,9.0,1.0,57.0,7.0,54.0,49.0
112.0,37.0,43.0,34.0,20.0,12.0,42.0
124.0,52.0,5.0,34.0,57.0,15.0,41.0
133.0,19.0,57.0,6.0,39.0,34.0,5.0
139.0,26.0,27.0,13.0,42.0,41.0,3.0
144.0,8.0,32.0,44.0,36.0,45.0,55.0
147.0,24.0,6.0,38.0,23.0,28.0,16.0
151.0,3.0,43.0,16.0,56.0,52.0,20.0
155.0,12.0,32.0,44.0,43.0,35.0,30.0
157.0,17.0,13.0,4.0,44.0,41.0,21.0
159.0,16.0,9.0,50.0,58.0,11.0,35.0
163.0,41.0,56.0,27.0,36.0,53.0,8.0
165.0,39.0,56.0,19.0,23.0,10.0,35.0
167.0,1.0,38.0,48.0,28.0,11.0,33.0
171.0,54.0,27.0,4.0,43.0,40.0,46.0
173.0,29.0,28.0,49.0,17.0,42.0,50.0
178.0,5.0,27.0,19.0,26.0,15.0,33.0
188.0,34.0,42.0,43.0,46.0,27.0,17.0
191.0,58.0,5.0,41.0,3.0,1.0,23.0
195.0,17.0,3.0,44.0,37.0,9.0,32.0
199.0,52.0,37.0,57.0,16.0,10.0,50.0
200.0,12.0,15.0,44.0,34.0,51.0,19.0
201.0,55.0,22.0,5.0,30.0,35.0,20.0
205.0,26.0,32.0,54.0,43.0,46.0,40.0
213.0,3.0,30.0,9.0,35.0,23.0,32.0
216.0,35.0,42.0,59.0,18.0,30.0,14.0
218.0,54.0,40.0,42.0,17.0,47.0,12.0
220.0,36.0,53.0,55.0,13.0,60.0,14.0
226.0,2.0,50.0,59.0,38.0,49.0,1.0
229.0,39.0,45.0,11.0,21.0,33.0,13.0
233.0,45.0,3.0,24.0,36.0,7.0,32.0
238.0,15.0,9.0,41.0,13.0,37.0,42.0
239.0,33.0,21.0,44.0,46.0,47.0,6.0
245.0,44.0,51.0,27.0,53.0,8.0,60.0
252.0,17.0,54.0,4.0,51.0,32.0,26.0
257.0,28.0,5.0,1.0,34.0,4.0,19.0
264.0,5.0,25.0,31.0,13.0,1.0,33.0
270.0,45.0,27.0,35.0,40.0,5.0,9.0
273.0,47.0,52.0,10.0,27.0,23.0,17.0
281.0,11.0,5.0,47.0,31.0,53.0,38.0
282.0,33.0,24.0,36.0,9.0,14.0,23.0
283.0,48.0,34.0,28.0,54.0,25.0,42.0
284.0,8.0,36.0,14.0,32.0,30.0,7.0
287.0,60.0,47.0,3.0,33.0,25.0,13.0
294.0,28.0,45.0,41.0,22.0,57.0,25.0
