,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Cidade,UF,Rateio_Sena
1,2.0,9.0,39.0,37.0,49.0,43.0,41.0,1.0,xx,PR,2307162.23
2,3.0,36.0,30.0,10.0,11.0,29.0,47.0,2.0,xx,RN,391192.51
11,11.0,25.0,15.0,58.0,37.0,59.0,38.0,1.0,xx,RJ,15591365.07
17,17.0,10.0,20.0,6.0,19.0,51.0,13.0,1.0,xx,SP,6789869.08
24,24.0,1.0,8.0,14.0,28.0,33.0,43.0,1.0,xx,xx,18661679.61
29,29.0,14.0,56.0,58.0,8.0,43.0,3.0,1.0,xx,RS,5401793.6
33,33.0,5.0,33.0,49.0,17.0,42.0,39.0,1.0,xx,MG,13997410.74
41,41.0,38.0,26.0,35.0,39.0,12.0,47.0,1.0,xx,BA,17019238.5
49,49.0,33.0,7.0,43.0,35.0,13.0,55.0,1.0,xx,RJ,8405156.76
54,54.0,5.0,21.0,9.0,56.0,18.0,36.0,2.0,xx,BA,7469653.99
59,58.0,30.0,49.0,27.0,37.0,12.0,44.0,1.0,xx,SP,3631304.91
64,63.0,26.0,9.0,41.0,49.0,25.0,40.0,1.0,xx,MG,13680019.57
74,73.0,57.0,25.0,45.0,28.0,51.0,26.0,1.0,xx,BA,21026575.4
80,79.0,43.0,25.0,2.0,13.0,31.0,17.0,1.0,xx,RS,6770601.75
83,82.0,51.0,36.0,53.0,29.0,18.0,15.0,1.0,xx,BA,13877826.02
91,90.0,21.0,26.0,40.0,54.0,9.0,52.0,1.0,xx,RJ,15764300.87
97,96.0,4.0,42.0,58.0,26.0,7.0,40.0,1.0,xx,xx,5218562.47
98,97.0,56.0,53.0,11.0,14.0,5.0,35.0,1.0,xx,xx,727932.66
103,102.0,44.0,42.0,37.0,56.0,19.0,20.0,1.0,xx,xx,11336626.88
104,103.0,9.0,1.0,57.0,7.0,54.0,49.0,1.0,xx,xx,696984.24
113,112.0,37.0,43.0,34.0,20.0,12.0,42.0,1.0,xx,xx,15802579.93
125,124.0,52.0,5.0,34.0,57.0,15.0,41.0,1.0,xx,xx,24536288.72
134,133.0,19.0,57.0,6.0,39.0,34.0,5.0,1.0,xx,xx,30533241.12
140,139.0,26.0,27.0,13.0,42.0,41.0,3.0,2.0,xx,xx,3902486.14
145,144.0,8.0,32.0,44.0,36.0,45.0,55.0,1.0,xx,xx,33597755.21
148,147.0,24.0,6.0,38.0,23.0,28.0,16.0,1.0,xx,xx,3805750.38
152,151.0,3.0,43.0,16.0,56.0,52.0,20.0,1.0,xx,xx,24091811.02
156,155.0,12.0,32.0,44.0,43.0,35.0,30.0,1.0,xx,xx,4988808.21
158,157.0,17.0,13.0,4.0,44.0,41.0,21.0,1.0,xx,xx,2140030.92
160,159.0,16.0,9.0,50.0,58.0,11.0,35.0,1.0,xx,PR,2038170.67
164,163.0,41.0,56.0,27.0,36.0,53.0,8.0,2.0,xx,xx,8975833.36
166,165.0,39.0,56.0,19.0,23.0,10.0,35.0,2.0,xx,xx,1044444.54
168,167.0,1.0,38.0,48.0,28.0,11.0,33.0,1.0,xx,xx,2100980.21
172,171.0,54.0,27.0,4.0,43.0,40.0,46.0,1.0,xx,xx,16052410.83
174,173.0,29.0,28.0,49.0,17.0,42.0,50.0,1.0,xx,xx,2148316.42
179,178.0,5.0,27.0,19.0,26.0,15.0,33.0,1.0,xx,xx,6129539.43
189,188.0,34.0,42.0,43.0,46.0,27.0,17.0,1.0,xx,xx,64905517.65
192,191.0,58.0,5.0,41.0,3.0,1.0,23.0,1.0,xx,xx,50968412.58
196,195.0,17.0,3.0,44.0,37.0,9.0,32.0,1.0,xx,AM,6370250.64
200,199.0,52.0,37.0,57.0,16.0,10.0,50.0,1.0,xx,SP,4915593.2
201,200.0,12.0,15.0,44.0,34.0,51.0,19.0,2.0,xx,xx,8829389.2
202,201.0,55.0,22.0,5.0,30.0,35.0,20.0,1.0,xx,RN,1038373.94
206,205.0,26.0,32.0,54.0,43.0,46.0,40.0,1.0,xx,RJ,4490339.49
214,213.0,3.0,30.0,9.0,35.0,23.0,32.0,3.0,xx,PR,7089194.54
219,216.0,35.0,42.0,59.0,18.0,30.0,14.0,4.0,xx,BA,801057.55
224,218.0,54.0,40.0,42.0,17.0,47.0,12.0,1.0,xx,PR,1878255.09
226,220.0,36.0,53.0,55.0,13.0,60.0,14.0,1.0,xx,SP,12636751.12
232,226.0,2.0,50.0,59.0,38.0,49.0,1.0,1.0,xx,SP,6916920.13
235,229.0,39.0,45.0,11.0,21.0,33.0,13.0,1.0,xx,AM,2992781.57
239,233.0,45.0,3.0,24.0,36.0,7.0,32.0,5.0,xx,DF,3196547.03
248,238.0,15.0,9.0,41.0,13.0,37.0,42.0,4.0,xx,BA,1429476.11
252,239.0,33.0,21.0,44.0,46.0,47.0,6.0,1.0,xx,BA,866183.32
