,Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Arrecadacao_Total,Ganhadores_Sena,Cidade,UF,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio,Acumulado_Mega_da_Virada
0,1.0,35135.0,41.0,5.0,4.0,52.0,30.0,33.0,0.0,0.0,,,0.0,17.0,39158.92,2016.0,330.21,SIM,1714650.23,0.0,0.0
1,2.0,35142.0,9.0,39.0,37.0,49.0,43.0,41.0,0.0,1.0,,PR,2307162.23,65.0,14424.02,4488.0,208.91,NÃO,0.0,0.0,0.0
2,3.0,35149.0,36.0,30.0,10.0,11.0,29.0,47.0,0.0,2.0,,RN,391192.51,62.0,10515.93,4261.0,153.01,NÃO,0.0,0.0,0.0
3,,,,,,,,,,,,SP,,,,,,,,,
4,4.0,35156.0,6.0,59.0,42.0,27.0,1.0,5.0,0.0,0.0,,,0.0,39.0,15322.24,3311.0,180.48,SIM,717080.75,0.0,0.0
5,5.0,35163.0,1.0,19.0,46.0,6.0,16.0,2.0,0.0,0.0,,,0.0,98.0,5318.1,5399.0,96.53,SIM,1342488.85,0.0,0.0
6,6.0,35170.0,19.0,40.0,7.0,13.0,22.0,47.0,0.0,0.0,,,0.0,109.0,7214.66,7147.0,110.03,SIM,2286166.33,0.0,0.0
7,7.0,35177.0,56.0,38.0,21.0,20.0,3.0,5.0,0.0,0.0,,,0.0,100.0,8746.05,5736.0,152.48,SIM,3335692.28,0.0,0.0
8,8.0,35184.0,53.0,17.0,38.0,4.0,47.0,37.0,0.0,0.0,,,0.0,60.0,16084.11,5262.0,183.4,SIM,4493748.19,0.0,0.0
9,9.0,35191.0,55.0,43.0,56.0,54.0,8.0,60.0,0.0,0.0,,,0.0,17.0,60043.79,2175.0,469.31,SIM,5718641.49,0.0,0.0
10,10.0,35198.0,25.0,4.0,18.0,57.0,21.0,38.0,0.0,0.0,,,0.0,251.0,6638.45,12590.0,132.35,SIM,13334769.81,0.0,0.0
11,11.0,35205.0,25.0,15.0,58.0,37.0,59.0,38.0,0.0,1.0,,RJ,15591365.07,148.0,12706.05,9442.0,199.16,NÃO,0.0,0.0,0.0
12,12.0,35212.0,20.0,27.0,43.0,16.0,19.0,4.0,0.0,0.0,,,0.0,108.0,6791.17,6454.0,113.64,SIM,880136.24,0.0,0.0
13,13.0,35219.0,47.0,32.0,50.0,54.0,18.0,56.0,0.0,0.0,,,0.0,43.0,20543.98,2934.0,301.09,SIM,1940205.35,0.0,0.0
14,14.0,35226.0,16.0,2.0,27.0,47.0,23.0,53.0,0.0,0.0,,,0.0,85.0,10458.19,5323.0,167.0,SIM,3006941.32,0.0,0.0
15,15.0,35233.0,60.0,12.0,33.0,52.0,35.0,51.0,0.0,0.0,,,0.0,57.0,17919.89,3931.0,259.84,SIM,4232661.35,0.0,0.0
16,16.0,35240.0,60.0,58.0,49.0,32.0,20.0,34.0,0.0,0.0,,,0.0,31.0,33307.13,3250.0,317.7,SIM,5471686.62,0.0,0.0
17,17.0,35247.0,10.0,20.0,6.0,19.0,51.0,13.0,0.0,1.0,,SP,6789869.08,144.0,7628.37,9376.0,117.16,NÃO,0.0,0.0,0.0
18,18.0,35254.0,37.0,36.0,56.0,27.0,42.0,23.0,0.0,0.0,,,0.0,52.0,13763.52,4484.0,159.61,SIM,858843.48,0.0,0.0
19,19.0,35261.0,5.0,25.0,12.0,10.0,60.0,24.0,0.0,0.0,,,0.0,159.0,5380.14,9250.0,92.48,SIM,10506266.73,0.0,0.0
20,20.0,35268.0,25.0,28.0,30.0,33.0,51.0,11.0,0.0,0.0,,,0.0,72.0,15486.97,5728.0,194.67,SIM,11844340.83,0.0,0.0
21,21.0,35275.0,49.0,46.0,6.0,53.0,33.0,36.0,0.0,0.0,,,0.0,63.0,17694.19,5030.0,221.62,SIM,13182021.44,0.0,0.0
22,22.0,35282.0,9.0,38.0,56.0,1.0,31.0,46.0,0.0,0.0,,,0.0,47.0,27212.9,4865.0,262.9,SIM,14716828.84,0.0,0.0
23,23.0,35289.0,17.0,52.0,51.0,59.0,39.0,37.0,0.0,0.0,,,0.0,74.0,20198.46,4897.0,305.23,SIM,16510452.0,0.0,0.0
24,24.0,35296.0,1.0,8.0,14.0,28.0,33.0,43.0,0.0,1.0,,,18661679.61,227.0,7897.31,13486.0,132.93,NÃO,0.0,0.0,0.0
25,25.0,35302.0,56.0,50.0,55.0,54.0,24.0,43.0,0.0,0.0,,,0.0,28.0,26338.5,2741.0,269.06,SIM,884973.5,0.0,0.0
26,26.0,35309.0,50.0,53.0,57.0,10.0,58.0,22.0,0.0,0.0,,,0.0,16.0,52473.74,1823.0,460.55,SIM,1892469.3,0.0,0.0
27,27.0,35316.0,44.0,33.0,13.0,51.0,17.0,20.0,0.0,0.0,,,0.0,99.0,9306.24,6466.0,142.49,SIM,2998050.68,0.0,0.0
28,28.0,35323.0,60.0,6.0,22.0,3.0,24.0,54.0,0.0,0.0,,,0.0,50.0,19749.22,4895.0,201.73,SIM,4183003.48,0.0,0.0
29,29.0,35330.0,14.0,56.0,58.0,8.0,43.0,3.0,0.0,1.0,,RS,5401793.6,44.0,23083.15,5248.0,193.53,NÃO,0.0,0.0,0.0
30,30.0,35337.0,38.0,50.0,7.0,29.0,15.0,14.0,0.0,0.0,,,0.0,80.0,11347.74,5885.0,154.26,SIM,10127520.8,0.0,0.0
31,31.0,35344.0,56.0,19.0,28.0,48.0,17.0,45.0,0.0,0.0,,,0.0,103.0,8793.04,5680.0,159.45,SIM,11214340.46,0.0,0.0
32,32.0,35351.0,43.0,33.0,14.0,36.0,5.0,44.0,0.0,0.0,,,0.0,96.0,11430.91,6876.0,159.6,SIM,12531181.83,0.0,0.0
33,33.0,35358.0,5.0,33.0,49.0,17.0,42.0,39.0,0.0,1.0,,MG,13997410.74,128.0,9545.76,8722.0,140.09,NÃO,0.0,0.0,0.0
34,34.0,35365.0,15.0,13.0,57.0,53.0,40.0,17.0,0.0,0.0,,,0.0,51.0,13604.06,2627.0,264.11,SIM,832568.2,0.0,0.0
35,35.0,35372.0,21.0,57.0,16.0,23.0,54.0,4.0,0.0,0.0,,,0.0,39.0,20051.18,3576.0,218.68,SIM,1770963.49,0.0,0.0
36,36.0,35379.0,13.0,3.0,51.0,17.0,29.0,25.0,0.0,0.0,,,0.0,143.0,6238.12,8548.0,104.36,SIM,2841425.78,0.0,0.0
37,37.0,35386.0,22.0,6.0,7.0,52.0,38.0,60.0,0.0,0.0,,,0.0,47.0,16848.61,3695.0,214.32,SIM,3791687.26,0.0,0.0
38,38.0,35393.0,55.0,42.0,10.0,43.0,45.0,54.0,0.0,0.0,,,0.0,24.0,38863.1,1999.0,466.59,SIM,4910944.53,0.0,0.0
39,39.0,35400.0,16.0,37.0,45.0,52.0,56.0,12.0,0.0,0.0,,,0.0,73.0,13459.05,4444.0,221.09,SIM,13456111.33,0.0,0.0
40,40.0,35407.0,3.0,12.0,46.0,5.0,47.0,8.0,0.0,0.0,,,0.0,189.0,7789.93,12117.0,121.51,SIM,15222867.04,0.0,0.0
41,41.0,35414.0,38.0,26.0,35.0,39.0,12.0,47.0,0.0,1.0,,BA,17019238.5,148.0,10114.7,10182.0,147.03,NÃO,0.0,0.0,0.0
42,42.0,35421.0,24.0,36.0,19.0,33.0,7.0,11.0,0.0,0.0,,,0.0,201.0,3684.64,9580.0,77.31,SIM,888735.02,0.0,0.0
43,43.0,35428.0,2.0,58.0,25.0,6.0,26.0,17.0,0.0,0.0,,,0.0,75.0,9738.03,5070.0,144.06,SIM,1765157.22,0.0,0.0
44,44.0,35435.0,47.0,38.0,18.0,14.0,29.0,44.0,0.0,0.0,,,0.0,103.0,7099.32,7742.0,94.45,SIM,2642633.14,0.0,0.0
45,45.0,35442.0,30.0,7.0,37.0,55.0,44.0,53.0,0.0,0.0,,,0.0,33.0,27201.47,3004.0,298.82,SIM,3719811.46,0.0,0.0
46,46.0,35449.0,32.0,46.0,1.0,60.0,24.0,23.0,0.0,0.0,,,0.0,91.0,9982.42,6263.0,145.04,SIM,4809891.56,0.0,0.0
47,47.0,35456.0,35.0,17.0,3.0,48.0,25.0,56.0,0.0,0.0,,,0.0,210.0,4458.44,10873.0,85.94,SIM,5933418.51,0.0,0.0
48,48.0,35463.0,47.0,5.0,34.0,28.0,2.0,50.0,0.0,0.0,,,0.0,132.0,7482.95,7454.0,132.25,SIM,7118717.38,0.0,0.0
49,49.0,35470.0,33.0,7.0,43.0,35.0,13.0,55.0,0.0,1.0,,RJ,8405156.76,155.0,6916.34,9830.0,108.85,NÃO,0.0,0.0,0.0
50,50.0,35477.0,57.0,44.0,21.0,16.0,58.0,6.0,0.0,0.0,,,0.0,31.0,25241.25,2800.0,278.91,SIM,8917830.39,0.0,0.0
51,51.0,35484.0,23.0,24.0,42.0,25.0,17.0,47.0,0.0,0.0,,,0.0,143.0,7231.47,9361.0,110.25,SIM,10158749.73,0.0,0.0
52,52.0,35491.0,58.0,15.0,59.0,30.0,38.0,46.0,0.0,0.0,,,0.0,77.0,15544.23,6442.0,185.43,SIM,11595036.71,0.0,0.0
53,53.0,35498.0,42.0,13.0,3.0,46.0,38.0,16.0,0.0,0.0,,,0.0,210.0,6337.79,10941.0,121.41,SIM,13192159.46,0.0,0.0
54,54.0,35505.0,5.0,21.0,9.0,56.0,18.0,36.0,0.0,2.0,,BA,7469653.99,207.0,7033.61,13067.0,111.2,NÃO,0.0,0.0,0.0
55,,,,,,,,,,,,SP,,,,,,,,,
56,55.0,35512.0,29.0,2.0,14.0,38.0,23.0,52.0,0.0,0.0,,,0.0,66.0,10817.63,3840.0,185.56,SIM,856756.39,0.0,0.0
57,56.0,35519.0,51.0,35.0,59.0,7.0,20.0,2.0,0.0,0.0,,,0.0,48.0,12142.2,2599.0,223.81,SIM,1556147.46,0.0,0.0
58,57.0,35526.0,27.0,17.0,16.0,34.0,7.0,59.0,0.0,0.0,,,0.0,79.0,10699.1,6173.0,136.65,SIM,2570421.8,0.0,0.0
59,58.0,35533.0,30.0,49.0,27.0,37.0,12.0,44.0,0.0,1.0,,SP,3631304.91,65.0,13601.07,5040.0,175.06,NÃO,0.0,0.0,0.0
60,59.0,35540.0,28.0,13.0,34.0,2.0,8.0,54.0,0.0,0.0,,,0.0,90.0,7312.34,5351.0,122.75,SIM,789733.42,0.0,0.0
61,60.0,35547.0,38.0,14.0,21.0,15.0,3.0,20.0,0.0,0.0,,,0.0,129.0,7111.47,7914.0,115.69,SIM,9478249.26,0.0,0.0
62,61.0,35554.0,59.0,8.0,18.0,29.0,42.0,44.0,0.0,0.0,,,0.0,52.0,18902.94,3866.0,253.76,SIM,10657792.45,0.0,0.0
63,62.0,35561.0,52.0,13.0,6.0,24.0,8.0,31.0,0.0,0.0,,,0.0,119.0,9968.7,8613.0,137.46,SIM,12081323.45,0.0,0.0
64,63.0,35568.0,26.0,9.0,41.0,49.0,25.0,40.0,0.0,1.0,,MG,13680019.57,82.0,16246.91,6359.0,209.1,NÃO,0.0,0.0,0.0
65,64.0,35575.0,8.0,54.0,50.0,60.0,23.0,12.0,0.0,0.0,,,0.0,29.0,23309.96,2441.0,276.38,SIM,811186.58,0.0,0.0
66,65.0,35582.0,20.0,1.0,5.0,32.0,25.0,34.0,0.0,0.0,,,0.0,61.0,11542.37,4932.0,142.48,SIM,1656088.09,0.0,0.0
67,66.0,35589.0,15.0,26.0,12.0,33.0,48.0,13.0,0.0,0.0,,,0.0,102.0,8054.25,7686.0,106.68,SIM,2641927.81,0.0,0.0
68,67.0,35596.0,47.0,14.0,27.0,52.0,17.0,12.0,0.0,0.0,,,0.0,83.0,10617.25,5479.0,160.52,SIM,3699406.44,0.0,0.0
69,68.0,35603.0,53.0,13.0,3.0,1.0,12.0,59.0,0.0,0.0,,,0.0,49.0,18496.73,4758.0,190.11,SIM,4787014.46,0.0,0.0
70,69.0,35610.0,56.0,58.0,34.0,53.0,25.0,45.0,0.0,0.0,,,0.0,55.0,17271.48,3661.0,258.96,SIM,5926931.93,0.0,0.0
71,70.0,35617.0,40.0,17.0,23.0,43.0,27.0,58.0,0.0,0.0,,,0.0,95.0,12899.52,6071.0,201.46,SIM,14883849.29,0.0,0.0
72,71.0,35624.0,53.0,16.0,45.0,43.0,33.0,27.0,0.0,0.0,,,0.0,115.0,12451.74,7430.0,192.35,SIM,16602188.45,0.0,0.0
73,72.0,35631.0,19.0,48.0,43.0,1.0,34.0,44.0,0.0,0.0,,,0.0,85.0,19676.33,7982.0,209.13,SIM,18609174.26,0.0,0.0
74,73.0,35638.0,57.0,25.0,45.0,28.0,51.0,26.0,0.0,1.0,,BA,21026575.4,95.0,21205.27,8222.0,244.52,NÃO,0.0,0.0,0.0
