,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma
0,2.0,9.0,39.0,37.0,49.0,43.0,41.0,218.0
1,3.0,36.0,30.0,10.0,11.0,29.0,47.0,163.0
2,11.0,25.0,15.0,58.0,37.0,59.0,38.0,232.0
3,17.0,10.0,20.0,6.0,19.0,51.0,13.0,119.0
4,24.0,1.0,8.0,14.0,28.0,33.0,43.0,127.0
5,29.0,14.0,56.0,58.0,8.0,43.0,3.0,182.0
6,33.0,5.0,33.0,49.0,17.0,42.0,39.0,185.0
7,41.0,38.0,26.0,35.0,39.0,12.0,47.0,197.0
8,49.0,33.0,7.0,43.0,35.0,13.0,55.0,186.0
9,54.0,5.0,21.0,9.0,56.0,18.0,36.0,145.0
10,58.0,30.0,49.0,27.0,37.0,12.0,44.0,199.0
11,63.0,26.0,9.0,41.0,49.0,25.0,40.0,190.0
12,73.0,57.0,25.0,45.0,28.0,51.0,26.0,232.0
13,79.0,43.0,25.0,2.0,13.0,31.0,17.0,131.0
14,82.0,51.0,36.0,53.0,29.0,18.0,15.0,202.0
15,90.0,21.0,26.0,40.0,54.0,9.0,52.0,202.0
16,96.0,4.0,42.0,58.0,26.0,7.0,40.0,177.0
17,97.0,56.0,53.0,11.0,14.0,5.0,35.0,174.0
18,102.0,44.0,42.0,37.0,56.0,19.0,20.0,218.0
19,103.0,9.0,1.0,57.0,7.0,54.0,49.0,177.0
20,112.0,37.0,43.0,34.0,20.0,12.0,42.0,188.0
21,124.0,52.0,5.0,34.0,57.0,15.0,41.0,204.0
22,133.0,19.0,57.0,6.0,39.0,34.0,5.0,160.0
23,139.0,26.0,27.0,13.0,42.0,41.0,3.0,152.0
24,144.0,8.0,32.0,44.0,36.0,45.0,55.0,220.0
25,147.0,24.0,6.0,38.0,23.0,28.0,16.0,135.0
26,151.0,3.0,43.0,16.0,56.0,52.0,20.0,190.0
27,155.0,12.0,32.0,44.0,43.0,35.0,30.0,196.0
28,157.0,17.0,13.0,4.0,44.0,41.0,21.0,140.0
29,159.0,16.0,9.0,50.0,58.0,11.0,35.0,179.0
30,163.0,41.0,56.0,27.0,36.0,53.0,8.0,221.0
31,165.0,39.0,56.0,19.0,23.0,10.0,35.0,182.0
32,167.0,1.0,38.0,48.0,28.0,11.0,33.0,159.0
33,171.0,54.0,27.0,4.0,43.0,40.0,46.0,214.0
34,173.0,29.0,28.0,49.0,17.0,42.0,50.0,215.0
35,178.0,5.0,27.0,19.0,26.0,15.0,33.0,125.0
36,188.0,34.0,42.0,43.0,46.0,27.0,17.0,209.0
37,191.0,58.0,5.0,41.0,3.0,1.0,23.0,131.0
38,195.0,17.0,3.0,44.0,37.0,9.0,32.0,142.0
39,199.0,52.0,37.0,57.0,16.0,10.0,50.0,222.0
40,200.0,12.0,15.0,44.0,34.0,51.0,19.0,175.0
41,201.0,55.0,22.0,5.0,30.0,35.0,20.0,167.0
42,205.0,26.0,32.0,54.0,43.0,46.0,40.0,241.0
43,213.0,3.0,30.0,9.0,35.0,23.0,32.0,132.0
44,216.0,35.0,42.0,59.0,18.0,30.0,14.0,198.0
45,218.0,54.0,40.0,42.0,17.0,47.0,12.0,212.0
46,220.0,36.0,53.0,55.0,13.0,60.0,14.0,231.0
47,226.0,2.0,50.0,59.0,38.0,49.0,1.0,199.0
48,229.0,39.0,45.0,11.0,21.0,33.0,13.0,162.0
49,233.0,45.0,3.0,24.0,36.0,7.0,32.0,147.0
50,238.0,15.0,9.0,41.0,13.0,37.0,42.0,157.0
51,239.0,33.0,21.0,44.0,46.0,47.0,6.0,197.0
52,245.0,44.0,51.0,27.0,53.0,8.0,60.0,243.0
53,252.0,17.0,54.0,4.0,51.0,32.0,26.0,184.0
54,257.0,28.0,5.0,1.0,34.0,4.0,19.0,91.0
55,264.0,5.0,25.0,31.0,13.0,1.0,33.0,108.0
56,270.0,45.0,27.0,35.0,40.0,5.0,9.0,161.0
57,273.0,47.0,52.0,10.0,27.0,23.0,17.0,176.0
